Year,Flood Alert count
2011,1088
2012,3701
2013,2646
2014,3514
2015,2507
2016,3139
2017,1897
2018,2317
2019,3437
2020,3536
2021,2624
2022,2128
2023,2065
2024,5110
2025,2931
