Year,Total renewable generation,Total low carbon generation,Total fossil fuel generation
1996,6101.72,100772.72,244257
1997,7428.98,105574.98,239367
1998,9231.86,108717.86,248124
1999,10174.84,105307.84,255631
2000,10361.1,95424.1,274551
2001,10075.93,100168.93,278619
2002,11670.77,99518.77,281355
2003,11207.32,99893.32,291780
2004,14723.11,94722.22,293496.12
2005,17518.81,99136.91,292617.13
2006,18756.65,94207.31,295850.63
2007,19689.65,82717.99,306785.31
2008,21819.95,74305.76,307309.13
2009,25208.05,94305.74,275531.45
2010,26180.44,88320.11,288053.09
2011,35212.3,104192.75,258060.24
2012,41248.57,111653.64,245852.81
2013,53213.25,123820.13,228166.92
2014,64522.5,128270.45,203051.09
2015,83363.83,153708.73,177790.75
2016,82990.62,154716.7,175915.02
2017,98878.62857,169215.0548,160890.7642
2018,110130.3194,175194.1684,149894.3945
2019,119725.969,175909.9027,141993.2366
2020,133624.8836,183863.9915,119024.5816
2021,122477.3103,168581.2327,131583.1765
2022,135227.8379,182628.254,133891.3112
2023,136757.8086,177353.9182,107571.3104
2024,143707.6921,184295.5368,90531.4233
