Year,Nuclear,Renewables,Fossil Fuels,Total
1996,94671,6101.72,244257,350867
1997,98146,7428.98,239367,350667
1998,99486,9231.86,248124,362702
1999,95133,10174.84,255631,368153
2000,85063,10361.1,274551,377070
2001,90093,10075.93,278619,384787
2002,87848,11670.77,281355,387245
2003,88686,11207.32,291780,398207
2004,79999.11,14723.11,293496.12,393928.75
2005,81618.1,17518.81,292617.13,398359.68
2006,75450.66,18756.65,295850.63,397281.95
2007,63028.34,19689.65,306785.31,396829.96
2008,52485.81,21819.95,307309.13,388892
2009,69097.69,25208.05,275531.45,376718.25
2010,62139.67,26180.44,288053.09,382068.25
2011,68980.45,35212.3,258060.24,367982.02
2012,70405.07,41248.57,245852.81,363873.55
2013,70606.88,53213.25,228166.92,358283.36
2014,63747.95,64522.5,203051.09,338096.11
2015,70344.9,83363.83,177790.75,338875.31
2016,71726.08,82990.62,175915.02,339164.41
2017,70336.42627,98878.62857,160890.7642,338197.7809
2018,65063.8489,110130.3194,149894.3945,333752.3436
2019,56183.9337,119725.969,141993.2366,327174.9485
2020,50239.108,133624.8836,119024.5816,310296.2583
2021,46103.9224,122477.3103,131583.1765,307880.76
2022,47400.4162,135227.8379,133891.3112,324820.791
2023,40596.1097,136757.8086,107571.3104,294078.5407
2024,40587.8448,143707.6921,90531.4233,284956.2014
