Year,Number of storm overflows with spill data
2016," 862 "
2017," 2,515 "
2018," 6,182 "
2019," 8,276 "
2020," 12,092 "
2021," 12,393 "
2022," 13,080 "
2023," 14,031 "
2024," 14,182 "
2025," 14,239 "
