Year,Billion vehicle miles (all motor vehicles)
1993,256.2
1994,261.9
1995,267
1996,274.1
1997,279.8
1998,284.9
1999,290.2
2000,289.6
2001,293.5
2002,300.2
2003,302
2004,305.7
2005,305.8
2006,310.4
2007,313.3
2008,310.5
2009,307.3
2010,303.2
2011,304.3
2012,304.6
2013,305.8
2014,314.5
2015,320.4
2016,327.9
2017,332.5
2018,334.2
2019,338.6
2020,265.9
2021,297.6
2022,323.7
2023,330.8
2024,336.2
2025,342.6
