Year,Local Authority,Housing association,Other public sector
2009,1.82,2.20,0.07
2010,1.79,2.24,0.06
2011,1.73,2.32,0.06
2012,1.69,2.36,0.07
2013,1.68,2.39,0.07
2014,1.67,2.41,0.06
2015,1.64,2.45,0.06
2016,1.61,2.49,0.06
2017,1.60,2.51,0.06
2018,1.59,2.54,0.04
2019,1.59,2.56,0.04
2020,1.58,2.58,0.03
2021,1.58,2.60,0.03
2022,1.58,2.62,0.03
2023,1.57,2.65,0.03
2024,1.57,2.67,0.03
2025,1.57,2.70,0.03
