Year,Private sector (millions),Total (millions)
2009,18.61,22.69
2010,18.74,22.84
2011,18.87,22.98
2012,18.99,23.12
2013,19.11,23.25
2014,19.25,23.39
2015,19.42,23.57
2016,19.60,23.76
2017,19.82,23.99
2018,20.04,24.21
2019,20.27,24.46
2020,20.51,24.71
2021,20.71,24.93
2022,20.93,25.16
2023,21.15,25.40
2024,21.34,25.62
2025,21.53,25.83
