Year,Private sector,Housing association,Public sector
2009,18.61,2.20,1.89
2010,18.74,2.24,1.85
2011,18.87,2.32,1.79
2012,18.99,2.36,1.77
2013,19.11,2.39,1.75
2014,19.25,2.41,1.73
2015,19.42,2.45,1.70
2016,19.60,2.49,1.67
2017,19.82,2.51,1.66
2018,20.04,2.54,1.64
2019,20.27,2.56,1.63
2020,20.51,2.58,1.62
2021,20.71,2.60,1.61
2022,20.93,2.62,1.61
2023,21.15,2.65,1.60
2024,21.34,2.67,1.60
2025,21.53,2.70,1.60
