Year,Non-private sector,Private sector,Total
2009,4.09,18.61,22.69
2010,4.09,18.74,22.84
2011,4.11,18.87,22.98
2012,4.13,18.99,23.12
2013,4.14,19.11,23.25
2014,4.14,19.25,23.39
2015,4.15,19.42,23.57
2016,4.16,19.60,23.76
2017,4.17,19.82,23.99
2018,4.17,20.04,24.21
2019,4.19,20.27,24.46
2020,4.20,20.51,24.71
2021,4.21,20.71,24.93
2022,4.23,20.93,25.16
2023,4.25,21.15,25.40
2024,4.28,21.34,25.62
2025,4.30,21.53,25.83
